marital	email
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	0
divorced	1
divorced	1
divorced	1
divorced	1
divorced	1
divorced	1
divorced	1
divorced	1
divorced	1
